функционал,доступ,прим,статус
**своё:**,,,
регистрация,all,,ok
+ подтверждение email,self,,
редактирование профиля,self,,ok
"+ FirstName, LastName",,связать профиль и User,
просмотр своей статистики,self,возможен экспорт таблиц,
заполнение таймлогов,self,:ref:`artist_time_log`,
,,,
поиск вакансий,self,,
приглашения/запросы,self,:ref:`studio_memberships`,ok
,,,
**studio:**,,,
вакансии,:ref:`head_level`,,
приглашения/запросы,:ref:`head_level`,:ref:`studio_memberships`,ok
,,,
членство в студиях,:ref:`head_level`,:ref:`studio_memberships`,ok
членство в группах студий (level),:ref:`head_level`,:ref:`group_memberships`,ok
+ редактирование студийного профиля,:ref:`head_level`,:ref:`studio_memberships`,ok
,,,
статистика артистов,:ref:`head_level`,возможен экспорт таблиц,
